Title: The Transit Light Curve Project. V. System Parameters and Stellar 
       Rotation Period of HD 189733  
Authors: Winn J.N., Holman M.J., Henry G.W., Roussanova A., Enya K., Yoshii Y.,
         Shporer A., Mazeh T., Johnson .A., Narita N., Suto Y. 
Table: Photometry of HD 189733
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 12 A12    ---     Tele    Telescope 
  14- 20 A7     ---     Filter  Filter 
  22- 34 F13.5  d       HJD     Heliocentric Julian Date of mid-exposure
  36- 41 F6.4   ---     RFlux   Relative flux 
  43- 48 F6.4   ---   e_RFlux   Uncertainty in RFlux
--------------------------------------------------------------------------------
FLWO 1.2m    z       2453937.73484 1.0009 0.0025 
FLWO 1.2m    z       2453937.73500 1.0010 0.0025 
FLWO 1.2m    z       2453937.73518 1.0012 0.0025 
FLWO 1.2m    z       2453937.73535 1.0020 0.0025 
FLWO 1.2m    z       2453937.73552 1.0001 0.0025 
FLWO 1.2m    z       2453937.73569 0.9998 0.0025 
FLWO 1.2m    z       2453937.73585 0.9991 0.0025 
FLWO 1.2m    z       2453937.73601 0.9953 0.0025 
FLWO 1.2m    z       2453937.73618 0.9930 0.0025 
FLWO 1.2m    z       2453937.73635 1.0017 0.0025 
FLWO 1.2m    z       2453937.73651 0.9965 0.0025 
FLWO 1.2m    z       2453937.73667 1.0001 0.0025 
FLWO 1.2m    z       2453937.73684 0.9963 0.0025 
FLWO 1.2m    z       2453937.73702 0.9959 0.0025 
FLWO 1.2m    z       2453937.73718 0.9974 0.0025 
FLWO 1.2m    z       2453937.73734 0.9985 0.0025 
FLWO 1.2m    z       2453937.73751 0.9956 0.0025 
FLWO 1.2m    z       2453937.73784 0.9979 0.0025 
FLWO 1.2m    z       2453937.73800 0.9991 0.0025 
FLWO 1.2m    z       2453937.73816 0.9969 0.0025 
FLWO 1.2m    z       2453937.73832 1.0000 0.0025 
FLWO 1.2m    z       2453937.73850 0.9971 0.0025 
FLWO 1.2m    z       2453937.73866 1.0049 0.0025 
FLWO 1.2m    z       2453937.73882 0.9982 0.0025 
FLWO 1.2m    z       2453937.73900 0.9988 0.0025 
FLWO 1.2m    z       2453937.73917 0.9999 0.0025 
FLWO 1.2m    z       2453937.73934 1.0014 0.0025 
FLWO 1.2m    z       2453937.73950 0.9997 0.0025 
FLWO 1.2m    z       2453937.73967 0.9975 0.0025 
FLWO 1.2m    z       2453937.73983 1.0005 0.0025 
FLWO 1.2m    z       2453937.74000 1.0033 0.0025 
FLWO 1.2m    z       2453937.74016 1.0001 0.0025 
FLWO 1.2m    z       2453937.74033 1.0030 0.0025 
FLWO 1.2m    z       2453937.74049 1.0011 0.0025 
FLWO 1.2m    z       2453937.74065 0.9977 0.0025 
FLWO 1.2m    z       2453937.74084 0.9959 0.0025 
FLWO 1.2m    z       2453937.74100 0.9971 0.0025 
FLWO 1.2m    z       2453937.74116 0.9959 0.0025 
FLWO 1.2m    z       2453937.74132 0.9945 0.0025 
FLWO 1.2m    z       2453937.74150 0.9968 0.0025 
FLWO 1.2m    z       2453937.74166 0.9963 0.0025 
FLWO 1.2m    z       2453937.74182 0.9969 0.0025 
FLWO 1.2m    z       2453937.74198 0.9931 0.0025 
FLWO 1.2m    z       2453937.74214 0.9988 0.0025 
FLWO 1.2m    z       2453937.74232 0.9983 0.0025 
FLWO 1.2m    z       2453937.74248 0.9984 0.0025 
FLWO 1.2m    z       2453937.74264 0.9950 0.0025 
FLWO 1.2m    z       2453937.74283 0.9950 0.0025 
FLWO 1.2m    z       2453937.74299 0.9911 0.0025 
FLWO 1.2m    z       2453937.74316 0.9954 0.0025 
FLWO 1.2m    z       2453937.74333 0.9974 0.0025 
FLWO 1.2m    z       2453937.74350 0.9925 0.0025 
FLWO 1.2m    z       2453937.74366 0.9915 0.0025 
FLWO 1.2m    z       2453937.74382 0.9941 0.0025 
FLWO 1.2m    z       2453937.74398 0.9872 0.0025 
FLWO 1.2m    z       2453937.74415 0.9916 0.0025 
FLWO 1.2m    z       2453937.74448 0.9939 0.0024 
FLWO 1.2m    z       2453937.74466 0.9915 0.0024 
FLWO 1.2m    z       2453937.74482 0.9921 0.0024 
FLWO 1.2m    z       2453937.74499 0.9926 0.0024 
FLWO 1.2m    z       2453937.74515 0.9948 0.0024 
FLWO 1.2m    z       2453937.74531 0.9931 0.0024 
FLWO 1.2m    z       2453937.74548 0.9926 0.0024 
FLWO 1.2m    z       2453937.74581 0.9945 0.0024 
FLWO 1.2m    z       2453937.74597 0.9876 0.0024 
FLWO 1.2m    z       2453937.74614 0.9955 0.0024 
FLWO 1.2m    z       2453937.74630 0.9878 0.0024 
FLWO 1.2m    z       2453937.74646 0.9893 0.0024 
FLWO 1.2m    z       2453937.74665 0.9882 0.0024 
FLWO 1.2m    z       2453937.74681 0.9856 0.0024 
FLWO 1.2m    z       2453937.74698 0.9869 0.0024 
FLWO 1.2m    z       2453937.74714 0.9925 0.0024 
FLWO 1.2m    z       2453937.74731 0.9900 0.0024 
FLWO 1.2m    z       2453937.74747 0.9838 0.0024 
FLWO 1.2m    z       2453937.74764 0.9890 0.0024 
FLWO 1.2m    z       2453937.74780 0.9877 0.0024 
FLWO 1.2m    z       2453937.74797 0.9892 0.0024 
FLWO 1.2m    z       2453937.74813 0.9899 0.0024 
FLWO 1.2m    z       2453937.74830 0.9881 0.0024 
FLWO 1.2m    z       2453937.74849 0.9885 0.0024 
FLWO 1.2m    z       2453937.74865 0.9842 0.0024 
FLWO 1.2m    z       2453937.74884 0.9839 0.0024 
FLWO 1.2m    z       2453937.74901 0.9846 0.0024 
FLWO 1.2m    z       2453937.74917 0.9804 0.0024 
FLWO 1.2m    z       2453937.74933 0.9862 0.0024 
